,Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal),Gender_Male,Workout_Type_HIIT,Workout_Type_Mixed,Workout_Type_Strength,Workout_Type_Yoga
43,19,75.6,1.65,199.0,161.0,73.0,0.57,26.6,3.4,5,1,27.7,6.0,0.6984126984126984,4.19047619047619,180.6,False,False,False,True,False
44,37,75.6,1.77,182.0,148.0,67.0,0.83,28.7,3.7,3,0,24.1,6.0,0.7043478260869566,4.22608695652174,265.2,False,False,False,True,False
45,45,66.8,1.62,168.0,147.0,82.0,0.8,20.3,4.2,3,0,25.5,8.0,0.7558139534883721,6.046511627906977,323.1,True,False,True,False,False
46,24,91.3,1.89,194.0,173.0,55.0,1.35,19.2,3.6,7,3,25.4,9.5,0.8489208633093526,8.06474820143885,719.45,False,True,False,False,False
47,25,62.3,1.65,189.0,146.0,64.0,0.87,17.9,3.2,4,1,22.8,7.0,0.656,4.5920000000000005,248.9,True,False,False,False,False
48,52,55.5,1.69,169.0,133.0,66.0,1.01,24.3,3.1,3,1,19.3,7.0,0.6504854368932039,4.553398058252427,255.2,False,False,False,False,False
49,31,47.7,1.54,194.0,158.0,75.0,1.06,25.0,3.8,7,2,20.0,6.0,0.6974789915966386,4.184873949579831,211.6,False,False,False,True,False
50,34,83.2,1.71,188.0,150.0,80.0,0.95,23.8,3.1,4,1,28.5,7.0,0.6481481481481481,4.537037037037037,358.6,False,False,False,False,False
51,53,46.3,1.48,163.0,141.0,72.0,0.67,24.0,4.5,2,0,21.1,8.0,0.7582417582417582,6.065934065934066,188.2,True,False,True,False,False
52,57,68.4,1.75,162.0,134.0,84.0,0.54,25.8,2.3,2,0,22.4,7.0,0.6410256410256411,4.487179487179487,165.7,False,False,False,False,False
53,21,59.8,1.75,200.0,158.0,59.0,1.14,13.9,3.9,3,1,19.5,6.0,0.7021276595744681,4.212765957446809,287.2,True,False,False,True,False
54,19,63.1,1.82,203.0,160.0,80.0,0.69,20.7,2.8,2,0,19.1,7.0,0.6504065040650406,4.5528455284552845,198.2,True,False,False,False,False
55,23,52.1,1.58,205.0,187.0,82.0,0.55,25.0,3.1,2,0,20.9,9.5,0.8536585365853658,8.109756097560975,232.4,True,True,False,False,False
56,59,88.5,1.7,164.0,144.0,83.0,0.83,25.8,4.4,3,0,30.8,8.0,0.7530864197530864,6.024691358024692,442.5,False,False,True,False,False
57,21,80.3,1.74,200.0,165.0,60.0,1.52,16.3,4.0,7,3,26.6,8.0,0.75,6.0,719.45,True,False,True,False,False
58,46,65.1,1.72,175.0,150.0,78.0,0.25,22.8,3.6,3,0,21.9,8.0,0.7422680412371134,5.938144329896907,96.6,True,False,True,False,False
59,35,71.9,1.59,183.0,165.0,61.0,1.06,16.7,4.0,5,2,28.3,9.5,0.8524590163934426,8.098360655737704,617.2,False,True,False,False,False
60,43,49.2,1.45,177.0,161.0,70.0,0.7,26.8,2.8,4,1,23.4,9.5,0.8504672897196262,8.07943925233645,278.3,False,True,False,False,False
61,51,86.5,1.71,173.0,158.0,74.0,1.08,25.4,3.4,2,0,29.4,9.5,0.8484848484848485,8.06060606060606,719.45,True,True,False,False,False
62,27,91.0,1.66,189.0,135.0,69.0,1.14,19.5,4.3,5,1,32.8,3.0,0.55,1.65,171.2,True,False,False,False,True
63,53,74.1,1.62,169.0,146.0,76.0,0.56,15.6,3.4,5,1,28.1,8.0,0.7526881720430108,6.021505376344086,249.9,False,False,True,False,False
64,31,75.2,1.76,188.0,152.0,66.0,1.04,15.0,3.6,5,2,24.4,6.0,0.7049180327868853,4.229508196721311,330.8,True,False,False,True,False
65,48,75.2,1.68,181.0,141.0,68.0,1.05,15.8,3.4,5,3,26.8,7.0,0.6460176991150443,4.522123893805309,357.1,True,False,False,False,False
66,32,57.7,1.55,189.0,139.0,76.0,0.25,21.7,3.1,3,0,24.1,3.0,0.5575221238938053,1.672566371681416,24.1,True,False,False,False,True
67,25,39.8,1.49,197.0,154.0,76.0,0.71,21.8,3.6,4,2,18.0,7.0,0.6446280991735537,4.512396694214876,127.5,False,False,False,False,False
68,31,52.5,1.57,185.0,148.0,81.0,0.6,28.8,2.2,3,0,21.4,7.0,0.6442307692307693,4.509615384615385,142.1,True,False,False,False,False
69,40,72.9,1.9,187.0,170.0,75.0,0.44,22.1,2.6,2,0,20.2,9.5,0.8482142857142857,8.058035714285714,258.5,False,True,False,False,False
70,57,65.4,1.75,166.0,125.0,76.0,0.66,27.3,4.2,3,0,21.3,3.0,0.5444444444444444,1.6333333333333333,70.5,False,False,False,False,True
71,38,90.0,1.7,189.0,150.0,61.0,0.93,18.1,4.1,4,2,31.2,6.0,0.6953125,4.171875,349.2,False,False,False,True,False
72,33,78.7,1.66,186.0,147.0,76.0,0.64,22.3,2.9,3,0,28.5,7.0,0.6454545454545455,4.5181818181818185,227.6,True,False,False,False,False
73,35,70.6,1.66,185.0,143.0,65.0,0.92,22.7,2.4,3,1,25.8,7.0,0.65,4.55,295.5,False,False,False,False,False
74,41,88.0,1.8,172.0,127.0,72.0,1.0,22.7,4.3,5,2,27.2,3.0,0.55,1.65,145.2,True,False,False,False,True
75,43,47.9,1.63,186.0,149.0,63.0,1.25,15.3,4.8,6,2,18.0,6.0,0.6991869918699187,4.195121951219512,251.2,False,False,False,True,False
76,42,81.3,1.74,180.0,144.0,62.0,1.42,10.5,4.7,7,3,26.9,6.0,0.6949152542372882,4.169491525423729,481.4,True,False,False,True,False
77,58,75.1,1.65,171.0,139.0,64.0,0.52,29.1,3.2,3,0,27.8,6.0,0.7009345794392523,4.205607476635514,164.2,True,False,False,True,False
78,46,63.2,1.87,172.0,136.0,69.0,1.27,18.2,3.7,3,1,18.0,7.0,0.6504854368932039,4.553398058252427,365.5,True,False,False,False,False
79,32,83.3,1.75,190.0,171.0,58.0,1.09,16.8,3.4,6,3,27.1,9.5,0.8560606060606061,8.132575757575758,719.45,False,True,False,False,False
80,18,59.6,1.8,205.0,149.0,80.0,0.43,25.3,3.5,2,0,18.3,3.0,0.552,1.656,42.4,True,False,False,False,True
81,42,47.3,1.62,180.0,146.0,68.0,1.22,25.8,4.2,5,2,18.0,6.0,0.6964285714285714,4.178571428571429,241.1,True,False,False,True,False
82,24,93.5,1.79,194.0,177.0,80.0,0.41,34.9,2.4,3,0,29.3,9.5,0.8508771929824561,8.083333333333334,309.9,False,True,False,False,False
83,26,54.3,1.65,192.0,154.0,67.0,1.03,23.0,4.1,5,2,20.0,6.0,0.696,4.176,233.6,False,False,False,True,False
84,41,60.4,1.69,177.0,140.0,71.0,0.99,17.4,3.3,5,2,21.1,7.0,0.6509433962264151,4.556603773584905,272.5,True,False,False,False,False
85,18,95.0,1.84,205.0,162.0,62.0,1.31,15.2,4.0,5,3,28.0,6.0,0.6993006993006993,4.195804195804196,522.2,False,False,False,True,False
86,25,56.6,1.58,192.0,147.0,63.0,0.78,17.5,2.5,5,1,22.8,7.0,0.6511627906976745,4.558139534883721,201.2,False,False,False,False,False
87,41,67.3,1.7,169.0,122.0,65.0,1.07,24.3,4.2,6,2,23.3,3.0,0.5480769230769231,1.6442307692307694,118.4,False,False,False,False,True
88,28,68.9,1.72,192.0,151.0,75.0,0.25,26.2,2.1,2,0,23.2,7.0,0.6495726495726496,4.547008547008547,78.3,True,False,False,False,False
89,34,76.2,1.73,186.0,147.0,55.0,0.74,30.6,3.2,4,1,25.4,6.0,0.7022900763358778,4.213740458015267,237.6,False,False,False,True,False
90,25,61.7,1.63,193.0,161.0,65.0,0.93,29.2,4.5,3,1,23.1,8.0,0.75,6.0,344.3,True,False,True,False,False
91,52,87.2,1.89,165.0,152.0,80.0,0.89,26.1,3.5,4,1,24.5,9.5,0.8470588235294118,8.047058823529412,624.5,False,True,False,False,False
92,52,52.9,1.55,167.0,132.0,69.0,0.52,22.0,3.2,3,1,22.0,7.0,0.6428571428571429,4.5,123.8,False,False,False,False,False
93,50,84.7,1.83,163.0,127.0,59.0,1.13,15.9,3.4,7,3,25.4,7.0,0.6538461538461539,4.576923076923077,438.1,True,False,False,False,False
94,22,82.0,1.8,205.0,170.0,64.0,0.62,32.7,3.8,3,0,25.3,8.0,0.75177304964539,6.01418439716312,305.8,False,False,True,False,False
95,59,104.9,1.87,162.0,134.0,68.0,0.25,28.9,2.5,3,0,31.6,6.0,0.7021276595744681,4.212765957446809,116.4,False,False,False,True,False
96,56,52.0,1.52,165.0,149.0,62.0,1.33,11.0,3.9,7,3,22.5,9.5,0.8446601941747572,8.024271844660193,555.0,False,True,False,False,False
97,58,59.0,1.59,167.0,152.0,68.0,0.77,23.6,3.7,4,1,23.3,9.5,0.8484848484848485,8.06060606060606,366.2,False,True,False,False,False
98,45,83.5,1.83,189.0,170.0,64.0,0.72,22.4,3.6,4,1,25.0,9.5,0.848,8.056,484.3,True,True,False,False,False
99,24,62.0,1.49,194.0,177.0,81.0,0.7,21.3,2.9,3,0,27.9,9.5,0.8495575221238938,8.070796460176991,350.3,True,True,False,False,False
100,26,45.3,1.52,196.0,140.0,71.0,0.27,27.7,3.7,3,0,19.6,3.0,0.552,1.656,20.3,True,False,False,False,True
101,25,65.0,1.63,199.0,153.0,68.0,0.76,18.2,3.1,3,0,24.4,7.0,0.648854961832061,4.541984732824427,224.4,True,False,False,False,False
102,29,52.0,1.7,194.0,141.0,75.0,0.67,26.5,3.5,2,0,18.0,3.0,0.5546218487394958,1.6638655462184877,58.0,True,False,False,False,True
103,51,77.5,1.84,174.0,125.0,66.0,0.44,18.8,3.8,5,1,22.9,3.0,0.5462962962962963,1.6388888888888888,55.9,True,False,False,False,True
104,50,78.1,1.66,175.0,140.0,61.0,0.98,13.8,3.8,7,2,28.3,6.0,0.6929824561403509,4.157894736842105,318.2,True,False,False,True,False
105,40,55.3,1.62,178.0,137.0,60.0,1.32,18.8,3.6,6,3,21.1,7.0,0.652542372881356,4.567796610169491,333.4,False,False,False,False,False
106,41,72.3,1.71,185.0,151.0,72.0,0.41,26.2,3.1,2,0,24.7,6.0,0.6991150442477876,4.1946902654867255,124.3,True,False,False,True,False
107,54,65.3,1.73,165.0,121.0,67.0,0.43,15.3,3.3,3,0,21.9,3.0,0.5510204081632653,1.6530612244897958,46.4,True,False,False,False,True
108,52,61.1,1.72,169.0,140.0,73.0,0.69,16.6,3.3,3,1,20.6,6.0,0.6979166666666666,4.1875,176.5,True,False,False,True,False
109,57,77.0,1.66,166.0,127.0,79.0,0.25,33.4,3.2,3,0,27.9,3.0,0.5517241379310345,1.6551724137931034,31.9,False,False,False,False,True
110,39,43.7,1.48,177.0,149.0,64.0,0.92,8.0,4.4,7,2,19.8,8.0,0.7522123893805309,6.017699115044247,241.9,True,False,True,False,False
111,44,63.5,1.59,178.0,131.0,73.0,0.95,24.4,4.0,4,1,25.2,3.0,0.5523809523809524,1.6571428571428573,100.0,True,False,False,False,True
112,52,83.8,1.82,171.0,132.0,58.0,1.31,8.0,3.5,5,3,25.2,7.0,0.6548672566371682,4.5840707964601775,503.2,True,False,False,False,False
113,18,59.4,1.7,193.0,154.0,65.0,0.27,21.6,3.5,3,0,20.6,6.0,0.6953125,4.171875,66.9,False,False,False,True,False
114,52,66.9,1.65,175.0,161.0,79.0,0.35,24.1,3.1,3,0,24.6,9.5,0.8541666666666666,8.114583333333332,190.0,True,True,False,False,False
115,54,65.0,1.79,162.0,149.0,75.0,1.03,29.7,3.9,3,0,20.3,9.5,0.8505747126436781,8.080459770114942,541.0,False,True,False,False,False
116,31,64.1,1.57,190.0,150.0,76.0,0.5,36.2,2.5,2,0,26.1,7.0,0.6491228070175439,4.543859649122807,145.6,False,False,False,False,False
117,20,51.5,1.66,205.0,163.0,64.0,0.9,17.6,3.9,4,2,18.7,6.0,0.7021276595744681,4.212765957446809,195.3,False,False,False,True,False
118,18,65.0,1.69,205.0,183.0,59.0,0.84,16.2,3.6,7,3,22.6,9.5,0.8493150684931506,8.068493150684931,440.5,False,True,False,False,False
119,22,61.5,1.64,203.0,165.0,76.0,0.63,26.4,3.3,2,0,23.0,6.0,0.7007874015748031,4.2047244094488185,162.9,True,False,False,True,False
120,43,81.3,1.69,183.0,167.0,76.0,0.63,25.4,3.3,2,0,28.5,9.5,0.8504672897196262,8.07943925233645,413.8,False,True,False,False,False
121,31,67.8,1.66,187.0,150.0,81.0,0.57,29.2,3.1,2,0,24.6,7.0,0.6509433962264151,4.556603773584905,176.1,False,False,False,False,False
122,56,66.0,1.54,159.0,146.0,72.0,0.94,19.4,3.6,3,1,27.8,9.5,0.8505747126436781,8.080459770114942,501.3,True,True,False,False,False
123,44,75.6,1.7,178.0,163.0,76.0,0.77,27.6,3.2,5,1,26.2,9.5,0.8529411764705882,8.102941176470589,471.7,False,True,False,False,False
124,26,62.7,1.55,198.0,179.0,73.0,0.94,23.7,3.4,5,2,26.2,9.5,0.848,8.056,474.8,False,True,False,False,False
125,32,65.3,1.7,194.0,146.0,57.0,1.0,20.5,3.5,6,2,22.7,7.0,0.6496350364963503,4.547445255474452,296.9,False,False,False,False,False
126,32,92.8,1.82,192.0,140.0,76.0,0.65,22.1,4.1,5,1,28.1,3.0,0.5517241379310345,1.6551724137931034,99.8,False,False,False,False,True
127,43,61.6,1.65,175.0,144.0,73.0,1.12,20.5,4.6,5,1,22.6,6.0,0.696078431372549,4.1764705882352935,288.1,False,False,False,True,False
128,59,44.0,1.56,165.0,141.0,67.0,1.1,24.9,4.2,7,2,18.0,8.0,0.7551020408163265,6.040816326530612,292.4,False,False,True,False,False
129,30,64.3,1.67,179.0,153.0,75.0,1.08,24.4,4.5,5,1,23.1,8.0,0.75,6.0,416.7,True,False,True,False,False
130,49,65.8,1.6,177.0,162.0,74.0,0.58,26.3,2.8,3,0,25.8,9.5,0.8543689320388349,8.116504854368932,309.8,True,True,False,False,False
131,56,54.5,1.74,160.0,135.0,78.0,0.37,25.8,3.2,2,0,18.0,6.0,0.6951219512195121,4.170731707317072,84.1,True,False,False,True,False
132,49,56.7,1.67,166.0,152.0,70.0,0.6,28.9,2.8,3,0,20.5,9.5,0.8541666666666666,8.114583333333332,276.1,True,True,False,False,False
133,21,65.4,1.85,205.0,162.0,63.0,1.39,21.0,4.3,4,1,19.1,6.0,0.6971830985915493,4.183098591549296,380.3,False,False,False,True,False
134,47,87.6,1.8,173.0,148.0,73.0,0.9,34.6,3.8,4,1,27.1,8.0,0.75,6.0,473.0,False,False,True,False,False
135,54,85.1,1.66,165.0,151.0,75.0,0.68,34.3,2.8,3,0,30.7,9.5,0.8444444444444444,8.022222222222222,464.2,False,True,False,False,False
136,40,71.1,1.75,174.0,158.0,65.0,0.95,18.5,3.3,4,2,23.2,9.5,0.8532110091743119,8.105504587155963,547.5,True,True,False,False,False
137,56,70.3,1.64,166.0,136.0,66.0,0.82,23.6,3.5,3,1,26.1,6.0,0.7,4.199999999999999,242.1,True,False,False,True,False
138,32,73.7,1.68,192.0,140.0,77.0,0.34,28.7,3.5,3,0,26.0,3.0,0.5478260869565217,1.643478260869565,41.2,False,False,False,False,True
139,46,81.6,1.64,172.0,156.0,63.0,0.71,16.0,3.2,5,2,30.2,9.5,0.8532110091743119,8.105504587155963,469.6,False,True,False,False,False
140,53,66.0,1.76,156.0,133.0,65.0,0.92,17.1,4.2,5,2,21.4,8.0,0.7472527472527473,5.978021978021978,363.0,True,False,True,False,False
141,30,76.9,1.82,198.0,179.0,73.0,0.31,26.4,2.6,2,0,23.1,9.5,0.848,8.056,192.0,True,True,False,False,False
142,49,70.1,1.76,170.0,130.0,56.0,1.32,12.8,3.1,7,3,22.6,7.0,0.6491228070175439,4.543859649122807,420.5,True,False,False,False,False
143,24,76.3,1.77,194.0,152.0,74.0,0.46,21.4,2.9,2,0,24.3,7.0,0.65,4.55,159.7,True,False,False,False,False
144,39,104.9,1.77,181.0,131.0,71.0,1.01,20.6,4.6,6,2,34.0,3.0,0.5454545454545454,1.6363636363636362,176.7,False,False,False,False,True
145,45,72.6,1.74,171.0,137.0,58.0,1.14,8.0,4.0,5,3,24.1,6.0,0.6991150442477876,4.1946902654867255,347.2,True,False,False,True,False
146,19,50.5,1.57,205.0,156.0,64.0,1.03,16.9,3.5,7,2,20.6,7.0,0.6524822695035462,4.567375886524824,237.6,True,False,False,False,False
147,59,66.3,1.85,165.0,149.0,64.0,0.71,26.8,2.9,4,2,19.4,9.5,0.8415841584158416,7.995049504950495,376.4,False,True,False,False,False
148,23,100.4,1.86,199.0,178.0,57.0,1.31,17.5,3.6,7,3,29.0,9.5,0.852112676056338,8.095070422535212,719.45,False,True,False,False,False
149,45,56.4,1.66,187.0,155.0,81.0,0.25,25.9,2.4,2,0,20.6,6.0,0.6981132075471698,4.188679245283018,59.1,False,False,False,True,False
150,45,71.9,1.64,172.0,135.0,68.0,0.54,26.6,2.4,3,0,26.7,7.0,0.6442307692307693,4.509615384615385,175.1,True,False,False,False,False
151,37,64.5,1.74,189.0,159.0,70.0,1.08,17.2,4.3,3,1,21.3,8.0,0.7478991596638656,5.983193277310924,416.8,True,False,True,False,False
152,47,57.0,1.74,162.0,130.0,56.0,1.54,9.7,4.4,5,3,18.9,6.0,0.6981132075471698,4.188679245283018,367.7,True,False,False,True,False
153,28,72.8,1.66,195.0,165.0,73.0,0.67,14.0,4.3,3,1,26.4,8.0,0.7540983606557377,6.032786885245901,294.3,True,False,True,False,False
154,45,51.9,1.55,186.0,167.0,61.0,1.14,13.1,3.5,7,3,21.5,9.5,0.848,8.056,476.6,False,True,False,False,False
155,42,75.2,1.71,173.0,150.0,81.0,0.62,28.5,3.8,2,0,25.7,8.0,0.75,6.0,279.7,False,False,True,False,False
156,56,78.3,1.74,172.0,141.0,69.0,1.09,16.2,3.7,7,2,26.0,6.0,0.6990291262135923,4.194174757281553,358.0,True,False,False,True,False
157,50,80.4,1.75,163.0,127.0,60.0,0.75,15.4,3.1,7,3,26.2,7.0,0.6504854368932039,4.553398058252427,274.6,True,False,False,False,False
158,18,67.4,1.71,205.0,166.0,74.0,0.55,18.4,3.1,5,1,22.9,6.0,0.7022900763358778,4.213740458015267,156.2,True,False,False,True,False
159,44,73.1,1.65,174.0,124.0,64.0,1.13,15.6,4.8,6,3,26.7,3.0,0.5454545454545454,1.6363636363636362,135.2,False,False,False,False,True
160,30,64.3,1.78,186.0,134.0,70.0,0.66,23.1,3.9,3,0,20.3,3.0,0.5517241379310345,1.6551724137931034,70.2,True,False,False,False,True
161,58,51.2,1.69,159.0,135.0,64.0,1.18,12.9,4.5,7,3,18.0,8.0,0.7473684210526316,5.978947368421053,361.2,False,False,True,False,False
162,20,71.6,1.63,200.0,179.0,61.0,1.05,9.7,3.8,7,3,26.8,9.5,0.8489208633093526,8.06474820143885,606.3,True,True,False,False,False
163,56,68.1,1.66,163.0,133.0,77.0,0.83,23.7,3.3,3,0,24.7,7.0,0.6511627906976745,4.558139534883721,257.6,False,False,False,False,False
164,23,48.9,1.51,197.0,165.0,68.0,1.17,28.5,4.6,3,1,21.6,8.0,0.751937984496124,6.015503875968992,344.2,False,False,True,False,False
165,25,50.0,1.66,197.0,157.0,66.0,0.57,17.4,3.1,5,1,18.1,6.0,0.6946564885496184,4.16793893129771,118.8,True,False,False,True,False
166,44,55.1,1.75,177.0,129.0,70.0,0.77,27.5,4.0,3,0,18.0,3.0,0.5514018691588785,1.6542056074766354,70.2,False,False,False,False,True
167,26,71.1,1.71,194.0,146.0,58.0,0.77,25.3,3.0,3,0,24.2,7.0,0.6470588235294118,4.529411764705882,248.0,False,False,False,False,False
168,54,102.7,1.83,164.0,122.0,71.0,0.44,26.2,3.4,2,0,30.6,3.0,0.5483870967741935,1.6451612903225803,74.3,True,False,False,False,True
169,50,64.1,1.65,172.0,141.0,82.0,0.86,22.5,2.9,3,1,23.4,7.0,0.6555555555555556,4.588888888888889,253.0,False,False,False,False,False
170,59,67.4,1.73,163.0,132.0,74.0,0.71,33.2,2.5,3,1,22.6,7.0,0.651685393258427,4.561797752808989,218.3,True,False,False,False,False
171,41,74.0,1.76,181.0,127.0,62.0,1.34,13.2,5.1,6,3,23.9,3.0,0.5462184873949579,1.638655462184874,162.5,False,False,False,False,True
172,32,104.9,1.9,188.0,139.0,80.0,0.5,26.9,3.4,3,0,32.7,3.0,0.5462962962962963,1.6388888888888888,96.8,False,False,False,False,True
173,49,77.5,1.69,168.0,136.0,64.0,0.89,16.6,4.3,4,2,27.0,6.0,0.6923076923076923,4.153846153846153,286.5,False,False,False,True,False
174,49,50.3,1.58,171.0,142.0,73.0,0.59,34.8,3.6,3,0,20.3,6.0,0.7040816326530612,4.224489795918368,125.4,False,False,False,True,False
